Reference,Status,Survey title,Source title,Survey authors,Source authors,Survey year,Source dates,Survey venue,Source venue,Source URL,Link status,Notes
81,matched,Uncertainty propagation on LLM agent,Uncertainty Propagation on LLM Agent,"Qiwei Zhao, Dong Li, Yanchi Liu, Wei Cheng, Yiyou Sun, Mika Oishi, Takao Osaki, Katsushi Matsuda, Huaxiu Yao, Chen Zhao, Haifeng Chen, and Xujiang Zhao",Qiwei Zhao; Dong Li; Yanchi Liu; Wei Cheng; Yiyou Sun; Mika Oishi; Takao Osaki; Katsushi Matsuda; Huaxiu Yao; Chen Zhao; Haifeng Chen; Xujiang Zhao,2025,2025/7,"In Wanxiang Che, Joyce Nabende, Ekaterina Shutova, and Mohammad Taher Pilehvar, editors,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers), pages 6064–6073, Vienna, Austria, July 2025. Association for Computational Linguistics. ISBN 979-8-89176-251-0. doi: 10.18653/v1/2025.acl-long.302.",Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),https://doi.org/10.18653/v1/2025.acl-long.302,reachable,
82,matched,Selaur: Self evolving llm agent via uncertainty-aware rewards,SELAUR: Self Evolving LLM Agent via Uncertainty-aware Rewards,"Dengjia Zhang, Xiaoou Liu, Lu Cheng, Yaqing Wang, Kenton Murray, and Hua Wei",Dengjia Zhang; Xiaoou Liu; Lu Cheng; Yaqing Wang; Kenton Murray; Hua Wei,2026,2026/02/24; 2026/02/25,"ArXiv, abs/2602.21158, 2026.",arXiv preprint,https://arxiv.org/abs/2602.21158,reachable,
83,matched,Tracer: Trajectory risk aggregation for critical episodes in agentic reasoning,TRACER: Trajectory Risk Aggregation for Critical Episodes in Agentic Reasoning,"Sina Tayebati, Divake Kumar, Nastaran Darabi, Davide Ettori, Ranganath Krishnan, and Amit Ranjan Trivedi",Sina Tayebati; Divake Kumar; Nastaran Darabi; Davide Ettori; Ranganath Krishnan; Amit Ranjan Trivedi,2026,2026/02/11; 2026/02/11,"ArXiv, abs/2602.11409, 2026.",arXiv preprint,https://arxiv.org/abs/2602.11409,reachable,
84,matched,Agentic uncertainty quantification,Agentic Uncertainty Quantification,"Jiaxin Zhang, Prafulla Kumar Choubey, Kung-Hsiang Huang, Caiming Xiong, and Chien-Sheng Wu",Jiaxin Zhang; Prafulla Kumar Choubey; Kung-Hsiang Huang; Caiming Xiong; Chien-Sheng Wu,2026,2026/01/22; 2026/01/22,"ArXiv, abs/2601.15703, 2026.",arXiv preprint,https://arxiv.org/abs/2601.15703,reachable,
85,matched,Towards uncertainty-aware language agent,Towards Uncertainty-Aware Language Agent,"Jiuzhou Han, Wray Buntine, and Ehsan Shareghi",Jiuzhou Han; Wray Buntine; Ehsan Shareghi,2024,2024/8,"In Lun- Wei Ku, Andre Martins, and Vivek Srikumar, editors,Findings of the Association for Computational Linguistics: ACL 2024, pages 6662–6685, Bangkok, Thailand, August 2024. Association for Computational Linguistics. doi: 10.18653/v1/2024.findings-acl.398.",Findings of the Association for Computational Linguistics: ACL 2024,https://doi.org/10.18653/v1/2024.findings-acl.398,reachable,
86,matched,Planu: Large language model reasoning through planning under uncertainty,PlanU: Large Language Model Reasoning through Planning under Uncertainty,"Ziwei Deng, Mian Deng, Chenjing Liang, Zeming Gao, Chennan Ma, Chenxing Lin, Haipeng Zhang, Songzhu Mei, Siqi Shen, and Cheng Wang",Ziwei Deng; Mian Deng; Chenjing Liang; Zeming Gao; Chennan Ma; Chenxing Lin; Haipeng Zhang; Songzhu Mei; Siqi Shen; Cheng Wang,2025,2025/10/21; 2025/11/05,,arXiv preprint,https://arxiv.org/abs/2510.18442,reachable,
87,matched,When agents disagree with themselves: Behavioral consistency as an uncertainty signal for llm agents,When Agents Disagree With Themselves: Behavioral Consistency as an Uncertainty Signal for LLM Agents,Aman Mehta,Aman Mehta,2026,2026/02/12; 2026/07/15,2026.,arXiv preprint,https://arxiv.org/abs/2602.11619,reachable,
88,matched,When agents commit too soon: Diagnosing premature commitment in llm agents,When Agents Commit Too Soon: Diagnosing Premature Commitment in LLM Agents,Aman Mehta,Aman Mehta,2026,2026/06/22; 2026/06/22,2026.,arXiv preprint,https://arxiv.org/abs/2606.22936,reachable,
89,matched,When does multi-agent collaboration help? an entropy perspective,When Does Multi-Agent Collaboration Help? An Entropy Perspective,"Yuxuan Zhao, Sijia Chen, and Ningxin Su",Yuxuan Zhao; Sijia Chen; Ningxin Su,2026,2026/02/04; 2026/06/04,2026.,arXiv preprint,https://arxiv.org/abs/2602.04234,reachable,
90,matched,Coe: Collaborative entropy for uncertainty quantification in agentic multi-llm systems,CoE: Collaborative Entropy for Uncertainty Quantification in Agentic Multi-LLM Systems,"Kangkang Sun, Jun Wu, Jianhua Li, Minyi Guo, Xiuzhen Che, and Jianwei Huang",Kangkang Sun; Jun Wu; Jianhua Li; Minyi Guo; Xiuzhen Che; Jianwei Huang,2026,2026/03/30; 2026/03/30,"ArXiv, abs/2603.28360, 2026.",arXiv preprint,https://arxiv.org/abs/2603.28360,reachable,
